,confidence,price
2014-12-31,0.304,2058.89990234375
2015-01-02,0.304,2058.199951171875
2015-01-05,0.344,2020.5799560546875
2015-01-06,0.36,2002.6099853515625
2015-01-07,0.336,2025.9000244140625
2015-01-08,0.328,2062.139892578125
2015-01-09,0.32,2044.81005859375
2015-01-12,0.272,2028.260009765625
2015-01-13,0.312,2023.030029296875
2015-01-14,0.312,2011.27001953125
2015-01-15,0.336,1992.6700439453125
2015-01-16,0.208,2019.4200439453125
2015-01-20,0.256,2022.550048828125
2015-01-21,0.232,2032.1199951171875
2015-01-22,0.232,2063.14990234375
2015-01-23,0.2,2051.820068359375
2015-01-26,0.128,2057.090087890625
2015-01-27,0.08,2029.550048828125
2015-01-28,0.072,2002.1600341796875
2015-01-29,0.104,2021.25
2015-01-30,0.088,1994.989990234375
2015-02-02,0.08,2020.8499755859375
2015-02-03,0.136,2050.030029296875
2015-02-04,0.088,2041.510009765625
2015-02-05,0.064,2062.52001953125
2015-02-06,0.088,2055.469970703125
2015-02-09,0.04,2046.739990234375
2015-02-10,0.088,2068.590087890625
2015-02-11,0.032,2068.530029296875
2015-02-12,0.04,2088.47998046875
2015-02-13,0.024,2096.989990234375
2015-02-17,0.016,2100.340087890625
2015-02-18,0.032,2099.679931640625
2015-02-19,0.024,2097.449951171875
2015-02-20,0.032,2110.300048828125
2015-02-23,0.056,2109.659912109375
2015-02-24,0.04,2115.47998046875
2015-02-25,0.04,2113.860107421875
2015-02-26,0.04,2110.739990234375
2015-02-27,0.048,2104.5
2015-03-02,0.128,2117.389892578125
2015-03-03,0.152,2107.780029296875
2015-03-04,0.152,2098.530029296875
2015-03-05,0.184,2101.0400390625
2015-03-06,0.192,2071.260009765625
2015-03-09,0.192,2079.429931640625
2015-03-10,0.2,2044.1600341796875
2015-03-11,0.216,2040.239990234375
2015-03-12,0.24,2065.949951171875
2015-03-13,0.232,2053.39990234375
2015-03-16,0.216,2081.18994140625
2015-03-17,0.096,2074.280029296875
2015-03-18,0.152,2099.5
2015-03-19,0.104,2089.27001953125
2015-03-20,0.088,2108.10009765625
2015-03-23,0.08,2104.419921875
2015-03-24,0.12,2091.5
2015-03-25,0.136,2061.050048828125
2015-03-26,0.168,2056.14990234375
2015-03-27,0.168,2061.02001953125
2015-03-30,0.192,2086.239990234375
2015-03-31,0.168,2067.889892578125
2015-04-01,0.168,2059.68994140625
2015-04-02,0.168,2066.9599609375
2015-04-06,0.152,2080.6201171875
2015-04-07,0.232,2076.330078125
2015-04-08,0.208,2081.89990234375
2015-04-09,0.184,2091.179931640625
2015-04-10,0.232,2102.06005859375
2015-04-13,0.192,2092.429931640625
2015-04-14,0.176,2095.840087890625
2015-04-15,0.16,2106.6298828125
2015-04-16,0.168,2104.989990234375
2015-04-17,0.176,2081.179931640625
2015-04-20,0.16,2100.39990234375
2015-04-21,0.16,2097.2900390625
2015-04-22,0.24,2107.9599609375
2015-04-23,0.168,2112.929931640625
2015-04-24,0.144,2117.68994140625
2015-04-27,0.2,2108.919921875
2015-04-28,0.152,2114.760009765625
2015-04-29,0.216,2106.85009765625
2015-04-30,0.248,2085.510009765625
2015-05-01,0.256,2108.2900390625
2015-05-04,0.264,2114.489990234375
2015-05-05,0.24,2089.4599609375
2015-05-06,0.192,2080.14990234375
2015-05-07,0.192,2088.0
2015-05-08,0.24,2116.10009765625
2015-05-11,0.264,2105.330078125
2015-05-12,0.184,2099.1201171875
2015-05-13,0.272,2098.47998046875
2015-05-14,0.208,2121.10009765625
2015-05-15,0.24,2122.72998046875
2015-05-18,0.216,2129.199951171875
2015-05-19,0.24,2127.830078125
2015-05-20,0.232,2125.85009765625
2015-05-21,0.256,2130.820068359375
