,confidence,price
1999-12-31,0.2,1469.25
2000-01-03,0.216,1455.219970703125
2000-01-04,0.216,1399.4200439453125
2000-01-05,0.192,1402.1099853515625
2000-01-06,0.216,1403.449951171875
2000-01-07,0.232,1441.469970703125
2000-01-10,0.192,1457.5999755859375
2000-01-11,0.192,1438.56005859375
2000-01-12,0.176,1432.25
2000-01-13,0.192,1449.6800537109375
2000-01-14,0.144,1465.1500244140625
2000-01-18,0.128,1455.1400146484375
2000-01-19,0.136,1455.9000244140625
2000-01-20,0.112,1445.5699462890625
2000-01-21,0.104,1441.3599853515625
2000-01-24,0.072,1401.530029296875
2000-01-25,0.048,1410.030029296875
2000-01-26,0.04,1404.0899658203125
2000-01-27,0.08,1398.56005859375
2000-01-28,0.072,1360.1600341796875
2000-01-31,0.112,1394.4599609375
2000-02-01,0.112,1409.280029296875
2000-02-02,0.12,1409.1199951171875
2000-02-03,0.152,1424.969970703125
2000-02-04,0.168,1424.3699951171875
2000-02-07,0.16,1424.239990234375
2000-02-08,0.2,1441.719970703125
2000-02-09,0.2,1411.7099609375
2000-02-10,0.176,1416.8299560546875
2000-02-11,0.192,1387.1199951171875
2000-02-14,0.216,1389.93994140625
2000-02-15,0.184,1402.050048828125
2000-02-16,0.192,1387.6700439453125
2000-02-17,0.216,1388.260009765625
2000-02-18,0.152,1346.0899658203125
2000-02-22,0.144,1352.1700439453125
2000-02-23,0.168,1360.68994140625
2000-02-24,0.176,1353.4300537109375
2000-02-25,0.168,1333.3599853515625
2000-02-28,0.208,1348.050048828125
2000-02-29,0.192,1366.4200439453125
2000-03-01,0.208,1379.18994140625
2000-03-02,0.152,1381.760009765625
2000-03-03,0.2,1409.1700439453125
2000-03-06,0.2,1391.280029296875
2000-03-07,0.136,1355.6199951171875
2000-03-08,0.104,1366.699951171875
2000-03-09,0.096,1401.68994140625
2000-03-10,0.12,1395.0699462890625
2000-03-13,0.12,1383.6199951171875
2000-03-14,0.08,1359.1500244140625
2000-03-15,0.088,1392.1400146484375
2000-03-16,0.096,1458.469970703125
2000-03-17,0.08,1464.469970703125
2000-03-20,0.08,1456.6300048828125
2000-03-21,0.128,1493.8699951171875
2000-03-22,0.104,1500.6400146484375
2000-03-23,0.12,1527.3499755859375
2000-03-24,0.128,1527.4599609375
2000-03-27,0.12,1523.8599853515625
2000-03-28,0.192,1507.72998046875
2000-03-29,0.192,1508.52001953125
2000-03-30,0.232,1487.9200439453125
2000-03-31,0.224,1498.5799560546875
2000-04-03,0.208,1505.969970703125
2000-04-04,0.168,1494.72998046875
2000-04-05,0.208,1487.3699951171875
2000-04-06,0.208,1501.3399658203125
2000-04-07,0.208,1516.3499755859375
2000-04-10,0.184,1504.4599609375
2000-04-11,0.144,1500.5899658203125
2000-04-12,0.176,1467.1700439453125
2000-04-13,0.144,1440.510009765625
2000-04-14,0.136,1356.56005859375
2000-04-17,0.128,1401.43994140625
2000-04-18,0.152,1441.6099853515625
2000-04-19,0.16,1427.469970703125
2000-04-20,0.168,1434.5400390625
2000-04-24,0.192,1429.8599853515625
2000-04-25,0.192,1477.43994140625
2000-04-26,0.192,1460.989990234375
2000-04-27,0.216,1464.9200439453125
2000-04-28,0.176,1452.4300537109375
2000-05-01,0.2,1468.25
2000-05-02,0.224,1446.2900390625
2000-05-03,0.224,1415.0999755859375
2000-05-04,0.232,1409.5699462890625
2000-05-05,0.176,1432.6300048828125
2000-05-08,0.144,1424.1700439453125
2000-05-09,0.184,1412.1400146484375
2000-05-10,0.144,1383.050048828125
2000-05-11,0.128,1407.81005859375
2000-05-12,0.152,1420.9599609375
2000-05-15,0.144,1452.3599853515625
2000-05-16,0.112,1466.0400390625
2000-05-17,0.072,1447.800048828125
2000-05-18,0.096,1437.2099609375
2000-05-19,0.088,1406.949951171875
2000-05-22,0.144,1400.719970703125
2000-05-23,0.128,1373.8599853515625
2000-05-24,0.128,1399.050048828125
2000-05-25,0.208,1381.52001953125
2000-05-26,0.28,1378.02001953125
2000-05-30,0.208,1422.449951171875
2000-05-31,0.208,1420.5999755859375
2000-06-01,0.264,1448.81005859375
2000-06-02,0.232,1477.260009765625
2000-06-05,0.232,1467.6300048828125
2000-06-06,0.248,1457.8399658203125
2000-06-07,0.28,1471.3599853515625
2000-06-08,0.232,1461.6700439453125
2000-06-09,0.256,1456.949951171875
2000-06-12,0.304,1446.0
2000-06-13,0.312,1469.43994140625
2000-06-14,0.2,1470.5400390625
2000-06-15,0.216,1478.72998046875
2000-06-16,0.288,1464.4599609375
2000-06-19,0.272,1486.0
2000-06-20,0.256,1475.949951171875
2000-06-21,0.232,1479.1300048828125
2000-06-22,0.208,1452.1800537109375
2000-06-23,0.216,1441.47998046875
2000-06-26,0.16,1455.31005859375
2000-06-27,0.16,1450.550048828125
2000-06-28,0.144,1454.8199462890625
2000-06-29,0.12,1442.3900146484375
2000-06-30,0.136,1454.5999755859375
2000-07-03,0.128,1469.5400390625
2000-07-05,0.136,1446.22998046875
2000-07-06,0.168,1456.6700439453125
2000-07-07,0.184,1478.9000244140625
2000-07-10,0.128,1475.6199951171875
2000-07-11,0.12,1480.8800048828125
2000-07-12,0.168,1492.9200439453125
2000-07-13,0.192,1495.8399658203125
2000-07-14,0.192,1509.97998046875
2000-07-17,0.184,1510.489990234375
2000-07-18,0.168,1493.739990234375
2000-07-19,0.128,1481.9599609375
2000-07-20,0.184,1495.5699462890625
2000-07-21,0.216,1480.18994140625
2000-07-24,0.224,1464.2900390625
2000-07-25,0.184,1474.469970703125
2000-07-26,0.192,1452.4200439453125
2000-07-27,0.152,1449.6199951171875
2000-07-28,0.112,1419.8900146484375
2000-07-31,0.12,1430.8299560546875
2000-08-01,0.112,1438.0999755859375
2000-08-02,0.2,1438.699951171875
2000-08-03,0.24,1452.56005859375
2000-08-04,0.264,1462.9300537109375
2000-08-07,0.224,1479.3199462890625
2000-08-08,0.216,1482.800048828125
2000-08-09,0.192,1472.8699951171875
2000-08-10,0.16,1460.25
2000-08-11,0.152,1471.8399658203125
