Date;Price
03/11/2021;5128.22021484375
03/12/2021;5146.3798828125
03/15/2021;5035.5400390625
03/16/2021;5079.35986328125
03/17/2021;5100.85986328125
03/18/2021;5141.77001953125
03/19/2021;5007.08984375
03/22/2021;5057.14990234375
03/23/2021;5009.25
03/24/2021;4928.68994140625
03/25/2021;4926.35009765625
03/26/2021;5037.990234375
03/29/2021;5046.8798828125
03/30/2021;5094.72998046875
03/31/2021;5048.35986328125
04/01/2021;5110.77978515625
04/02/2021;5161.56005859375
04/06/2021;5140.33984375
04/07/2021;5103.740234375
04/08/2021;5112.2099609375
04/09/2021;5035.33984375
04/12/2021;4947.75
04/13/2021;4939.64013671875
04/14/2021;4980.6298828125
04/15/2021;4948.97021484375
04/16/2021;4966.18017578125
04/19/2021;5087.02001953125
04/20/2021;5083.3701171875
04/21/2021;5098.740234375
04/22/2021;5089.240234375
04/23/2021;5135.4501953125
04/26/2021;5077.240234375
04/27/2021;5090.52001953125
04/28/2021;5119.240234375
04/29/2021;5164.169921875
04/30/2021;5123.490234375
05/06/2021;5061.1201171875
05/07/2021;4996.0498046875
05/10/2021;4992.419921875
05/11/2021;5023.06005859375
05/12/2021;5044.5498046875
05/13/2021;4992.97021484375
05/14/2021;5110.58984375
05/17/2021;5184.990234375
05/18/2021;5187.60009765625
05/19/2021;5172.27001953125
05/20/2021;5186.41015625
05/21/2021;5134.14990234375
05/24/2021;5155.58984375
05/25/2021;5318.47998046875
05/26/2021;5320.58984375
05/27/2021;5338.22998046875
05/28/2021;5321.08984375
05/31/2021;5331.56982421875
06/01/2021;5341.68017578125
06/02/2021;5289.97021484375
06/03/2021;5255.2900390625
06/04/2021;5282.27978515625
06/07/2021;5277.6298828125
06/08/2021;5232.1201171875
06/09/2021;5236.4501953125
06/10/2021;5271.47021484375
06/11/2021;5224.7001953125
06/15/2021;5166.56005859375
06/16/2021;5080.490234375
06/17/2021;5101.89013671875
06/18/2021;5102.47021484375
06/21/2021;5090.39013671875
06/22/2021;5122.16015625
06/23/2021;5147.39013671875
06/24/2021;5155.97021484375
06/25/2021;5239.97021484375
06/28/2021;5251.759765625
06/29/2021;5190.5400390625
06/30/2021;5224.0400390625
07/01/2021;5229.66015625
07/02/2021;5081.1201171875
07/05/2021;5085.7900390625
07/06/2021;5083.10009765625
07/07/2021;5140.490234375
07/08/2021;5088.259765625
07/09/2021;5069.43994140625
07/12/2021;5132.7099609375
07/13/2021;5142.10009765625
07/14/2021;5083.080078125
07/15/2021;5151.4599609375
07/16/2021;5094.77001953125
07/19/2021;5113.490234375
07/20/2021;5108.990234375
07/21/2021;5144.0400390625
07/22/2021;5151.75
07/23/2021;5089.22998046875
07/26/2021;4925.2998046875
07/27/2021;4751.31005859375
07/28/2021;4760.47998046875
07/29/2021;4850.27001953125
07/30/2021;4811.169921875
08/02/2021;4933.740234375
08/03/2021;4934.4599609375
08/04/2021;4978.85009765625
08/05/2021;4948.669921875
08/06/2021;4921.56005859375
08/09/2021;4985.56005859375
08/10/2021;5043.14990234375
08/11/2021;5015.33984375
08/12/2021;4973.35009765625
08/13/2021;4945.97998046875
08/16/2021;4941.06982421875
08/17/2021;4837.39990234375
08/18/2021;4894.240234375
08/19/2021;4862.14013671875
08/20/2021;4769.27001953125
08/23/2021;4835.8798828125
08/24/2021;4888.39013671875
08/25/2021;4898.16015625
08/26/2021;4801.60986328125
08/27/2021;4827.0400390625
08/30/2021;4813.27001953125
08/31/2021;4805.60986328125
09/01/2021;4869.4599609375
09/02/2021;4869.41015625
09/03/2021;4843.06005859375
09/06/2021;4933.72998046875
09/07/2021;4992.830078125
09/08/2021;4972.1298828125
09/09/2021;4970.009765625
09/10/2021;5013.52001953125
09/13/2021;4991.66015625
09/14/2021;4917.16015625
09/15/2021;4867.31982421875
09/16/2021;4807.7001953125
09/17/2021;4855.93994140625
09/22/2021;4821.77001953125
09/23/2021;4853.2001953125
09/24/2021;4849.43017578125
09/27/2021;4877.3701171875
09/28/2021;4883.830078125
09/29/2021;4833.93017578125
09/30/2021;4866.3798828125
10/08/2021;4929.93994140625
10/11/2021;4936.18994140625
10/12/2021;4883.83984375
10/13/2021;4940.10986328125
10/14/2021;4913.60986328125
10/15/2021;4932.10986328125
10/18/2021;4874.77978515625
10/19/2021;4922.72021484375
10/20/2021;4910.18017578125
10/21/2021;4928.02001953125
10/22/2021;4959.72998046875
10/25/2021;4979.52001953125
10/26/2021;4963.10009765625
10/27/2021;4898.16015625
10/28/2021;4864.14013671875
10/29/2021;4908.77001953125
11/01/2021;4890.68994140625
11/02/2021;4839.85009765625
11/03/2021;4821.10986328125
11/04/2021;4868.740234375
11/05/2021;4842.35009765625
11/08/2021;4848.18017578125
11/09/2021;4846.740234375
11/10/2021;4821.18994140625
11/11/2021;4898.64990234375
11/12/2021;4888.3701171875
11/15/2021;4882.3798828125
11/16/2021;4883.31982421875
11/17/2021;4885.75
11/18/2021;4837.6201171875
11/19/2021;4890.06005859375
11/22/2021;4912.39990234375
11/23/2021;4913.35009765625
11/24/2021;4916.66015625
11/25/2021;4896.43994140625
11/26/2021;4860.1298828125
11/29/2021;4851.419921875
11/30/2021;4832.02978515625
12/01/2021;4843.85009765625
12/02/2021;4856.16015625
12/03/2021;4901.02001953125
12/06/2021;4892.6201171875
12/07/2021;4922.10009765625
12/08/2021;4995.93017578125
12/09/2021;5078.68994140625
12/10/2021;5055.1201171875
12/13/2021;5083.7998046875
12/14/2021;5049.7001953125
12/15/2021;5005.89990234375
12/16/2021;5034.72998046875
12/17/2021;4954.759765625
