Date;Price
07/02/1997;1199.06103515625
07/03/1997;1150.623046875
07/04/1997;1159.342041015625
07/07/1997;1096.8189697265625
07/08/1997;1109.666015625
07/09/1997;1120.8409423828125
07/10/1997;1120.154052734375
07/11/1997;1154.7939453125
07/14/1997;1200.114013671875
07/16/1997;1190.8260498046875
07/17/1997;1197.2259521484375
07/18/1997;1209.8570556640625
07/21/1997;1193.5250244140625
07/22/1997;1208.248046875
07/23/1997;1198.8609619140625
07/24/1997;1174.217041015625
07/25/1997;1170.862060546875
07/28/1997;1141.7769775390625
07/29/1997;1153.22900390625
07/30/1997;1179.4210205078125
07/31/1997;1189.760009765625
08/01/1997;1192.8280029296875
08/04/1997;1200.3330078125
08/05/1997;1196.2740478515625
08/06/1997;1171.9410400390625
08/07/1997;1199.239990234375
08/08/1997;1206.052978515625
08/11/1997;1184.0830078125
08/12/1997;1146.8089599609375
08/13/1997;1120.126953125
08/14/1997;1168.113037109375
08/15/1997;1143.06396484375
08/18/1997;1134.634033203125
08/19/1997;1132.905029296875
08/20/1997;1144.6390380859375
08/21/1997;1164.5450439453125
08/22/1997;1171.8330078125
08/25/1997;1184.095947265625
08/26/1997;1194.04296875
08/27/1997;1198.512939453125
08/28/1997;1213.8919677734375
08/29/1997;1221.06396484375
09/01/1997;1229.864990234375
09/02/1997;1226.302978515625
09/03/1997;1240.8199462890625
09/04/1997;1251.2979736328125
09/05/1997;1251.550048828125
09/08/1997;1255.22900390625
09/09/1997;1231.0269775390625
09/10/1997;1256.041015625
09/11/1997;1242.7130126953125
09/12/1997;1208.697021484375
09/15/1997;1179.2860107421875
09/16/1997;1187.219970703125
09/17/1997;1167.5570068359375
09/18/1997;1172.365966796875
09/19/1997;1184.52099609375
09/22/1997;1103.9739990234375
09/23/1997;1041.9649658203125
09/24/1997;1110.011962890625
09/25/1997;1117.010009765625
09/26/1997;1109.634033203125
09/29/1997;1084.072021484375
09/30/1997;1097.383056640625
10/06/1997;1098.9029541015625
10/07/1997;1102.572998046875
10/08/1997;1134.8680419921875
10/09/1997;1122.4659423828125
10/10/1997;1130.7850341796875
10/13/1997;1119.8170166015625
10/14/1997;1117.927978515625
10/15/1997;1125.781982421875
10/16/1997;1150.3070068359375
10/17/1997;1176.489013671875
10/20/1997;1187.3680419921875
10/21/1997;1191.8699951171875
10/22/1997;1177.52001953125
10/23/1997;1173.364013671875
10/24/1997;1178.3060302734375
10/27/1997;1235.8270263671875
10/28/1997;1177.9239501953125
10/29/1997;1184.0860595703125
10/30/1997;1174.845947265625
10/31/1997;1180.3929443359375
11/03/1997;1180.85400390625
11/04/1997;1184.699951171875
11/05/1997;1194.0379638671875
11/06/1997;1181.123046875
11/07/1997;1195.1409912109375
11/10/1997;1185.7840576171875
11/11/1997;1186.634033203125
11/12/1997;1185.0240478515625
11/13/1997;1185.0240478515625
11/14/1997;1197.83203125
11/17/1997;1191.3330078125
11/18/1997;1183.3489990234375
11/19/1997;1181.626953125
11/20/1997;1172.427001953125
11/21/1997;1158.5550537109375
11/24/1997;1124.9410400390625
11/25/1997;1125.5279541015625
11/26/1997;1143.8179931640625
11/27/1997;1122.5159912109375
11/28/1997;1139.6280517578125
12/01/1997;1133.0870361328125
12/02/1997;1130.1669921875
12/03/1997;1122.5460205078125
12/04/1997;1135.873046875
12/05/1997;1136.2039794921875
12/08/1997;1139.322021484375
12/09/1997;1148.1710205078125
12/10/1997;1157.842041015625
12/11/1997;1159.1689453125
12/12/1997;1153.8399658203125
12/15/1997;1168.0260009765625
12/16/1997;1174.802001953125
12/17/1997;1146.52197265625
12/18/1997;1154.166015625
12/19/1997;1160.7679443359375
12/22/1997;1169.0069580078125
12/23/1997;1171.2540283203125
12/24/1997;1169.6639404296875
12/25/1997;1181.2779541015625
12/26/1997;1191.9189453125
12/29/1997;1186.60595703125
12/30/1997;1181.1429443359375
12/31/1997;1194.10205078125
01/05/1998;1220.4730224609375
01/06/1998;1233.6199951171875
01/07/1998;1244.0699462890625
01/08/1998;1237.1629638671875
01/09/1998;1239.9010009765625
01/12/1998;1226.9659423828125
01/13/1998;1167.64697265625
01/14/1998;1202.2149658203125
01/15/1998;1215.4310302734375
01/16/1998;1213.9620361328125
01/19/1998;1213.1290283203125
01/20/1998;1203.7149658203125
01/21/1998;1200.2030029296875
01/22/1998;1204.4300537109375
01/23/1998;1222.9129638671875
02/09/1998;1248.0400390625
02/10/1998;1236.512939453125
02/11/1998;1250.238037109375
02/12/1998;1246.2950439453125
02/13/1998;1245.9110107421875
02/16/1998;1236.2359619140625
02/17/1998;1238.5
02/18/1998;1229.8310546875
02/19/1998;1232.583984375
02/20/1998;1226.02001953125
02/23/1998;1208.60302734375
02/24/1998;1208.218017578125
02/25/1998;1194.6729736328125
02/26/1998;1206.6739501953125
02/27/1998;1206.530029296875
03/02/1998;1188.3060302734375
03/03/1998;1201.7889404296875
03/04/1998;1213.2530517578125
03/05/1998;1207.541015625
03/06/1998;1206.4520263671875
03/09/1998;1200.833984375
03/10/1998;1199.83203125
03/11/1998;1190.0369873046875
03/12/1998;1178.969970703125
03/13/1998;1184.9610595703125
03/16/1998;1188.4820556640625
03/17/1998;1202.8349609375
03/18/1998;1193.9090576171875
03/19/1998;1188.7149658203125
03/20/1998;1187.5009765625
03/23/1998;1179.8690185546875
03/24/1998;1194.0169677734375
03/25/1998;1191.552978515625
03/26/1998;1188.864990234375
03/27/1998;1223.56494140625
03/30/1998;1249.43505859375
03/31/1998;1243.0159912109375
04/01/1998;1254.9649658203125
04/02/1998;1269.0150146484375
