sub_start,sub_end,bestObjV,t_c,omega,phi,alpha
1.0,3427.0,815388.6167252958,3604.2867064586835,0.19203279292235198,1.1454876817140969,0.7556710964309994
123.35714285714286,3427.0,794616.2006396261,3446.109945322405,0.5489135220179575,1.7276513685766002,0.8921732388158355
245.71428571428572,3427.0,760848.0099781133,3445.8464674813436,0.35433438419854024,1.7537790840737373,0.6724414823157733
368.07142857142856,3427.0,817398.0431889535,4176.170907070697,0.9419469829203697,2.5814023736372587,0.2973538793202648
490.42857142857144,3427.0,736203.9328480844,3691.1903430004636,0.27691013511273344,3.009442422516108,0.826105939126119
612.7857142857143,3427.0,703120.9638512286,3713.163463589454,0.018854682623321573,3.497654066876129,0.44335966664845594
735.1428571428571,3427.0,735817.7069385259,4686.317372758006,0.011465167679745036,6.064173268912054,0.49873899191872395
857.5,3427.0,682047.1747230253,3879.879743747711,0.03031913018569199,4.282429649725946,0.653497160200024
979.8571428571429,3427.0,604765.8931751369,3893.2219810452816,0.0005696871451554841,4.7486805524044415,0.5471490732861533
1102.2142857142858,3427.0,515384.74353239004,3947.0249783903864,1.4393357020453745,4.791394360451553,0.39699088683029293
1224.5714285714287,3427.0,411698.5206634869,6061.4509603581455,7.716917462943238,1.420518397471628,0.5744997314945092
1346.9285714285716,3427.0,295360.97401529236,4043.41377960078,0.9982623354398923,4.702265802732358,0.4505778099322669
1469.2857142857142,3427.0,188862.95253480383,3902.343601048963,0.21895863153593265,2.4596970570283276,0.6518300205825274
1591.642857142857,3427.0,145176.70709002935,3980.148719775494,0.07682828733456937,5.171831175563896,0.26685361631936183
1714.0,3427.0,142605.2646007315,3914.614816334514,0.14411762697247532,4.801107035845898,0.17497041172411365
1836.357142857143,3427.0,123254.8916636841,3693.573266375821,0.3612323437476661,4.954592095439961,0.4546415380317851
1958.7142857142858,3427.0,93706.21184662991,3718.574451953666,0.314510090634057,5.850156794612663,0.6675242542786031
2081.0714285714284,3427.0,87361.21664888485,3657.8649808773575,1.1973793926950327,5.502173672327467,0.5783646202449306
2203.4285714285716,3427.0,62735.324211239335,3531.4904274980963,2.2912207277206953,5.26453489618896,0.24427376041489826
2325.785714285714,3427.0,57305.97808841922,3608.1128456791507,2.1089811883469256,6.075095939154825,0.4261049163648446
2448.1428571428573,3427.0,50249.05676632562,3543.993540857769,4.0238833828481235,5.736071469452073,0.6925838774861954
1.0,3420.0,799374.9008347024,3542.030514579151,0.1869526003649824,1.6578105847566287,0.7039169496774941
123.35714285714286,3420.0,814413.7244030696,3649.9202359740834,0.33007806604079537,2.0690159045349255,0.8995015562554806
245.71428571428572,3420.0,756659.2315847478,3425.604324058088,0.2260993015484214,1.799462696379549,0.39608830759782476
368.07142857142856,3420.0,747405.3270243444,3425.123032556017,0.5881063134603215,1.7809197228005988,0.8554045316088054
